Location ID,Location,Address,Municipality,Rollup,Zone,Parking Type,Vendor,Rate,Spaces - Total,Spaces - Core,Spaces - One-Way,Utilization - Core,Utilization - One-Way,Latitude,Longitude,Core Util. Cat.
1705992303,20 Chelsea St - East Boston (Rear Lot),20 Chelsea Street,Boston,Boston,East Boston,surface lot,$0.00,$125.00,2,1,1,#N/A,#N/A,42.37072925,-71.03833042,#N/A
1695093484,200 Border St - Liberty Plaza,200 Border Street,Boston,Boston,East Boston,surface lot,"Liberty Plaza Realty, Inc.",$175.00,2,1,1,34%,BOTTOM 25%,42.37526142,-71.03994408,29%-35%
1452200607,2005 Comm Ave - Brighton (Rear Alley),363 Foster St ,Brighton,Boston,Brighton,surface lot,Aberdeen Row LLC,$200.00,3,2,1,23%,BOTTOM 25%,42.34027632,-71.15860094,0%-28%
321779298,202 Elm St,202 Elm St,Cambridge,Boston,Somerville,surface lot,Gary Gilbert,$180.00,2,1,1,38%,BOTTOM 25%,42.39340257,-71.12085744,36%-42%
132937672,2225 Mass Ave - Pemberton Farms - Cambridge,2225 Massachusetts Ave,Cambridge,Boston,Cambridge North and West,surface lot,Denna Saidnawey,$200.00,2,1,1,46%,MIDDLE 50%,42.3938285,-71.1257731,43%-100%
158669006,235 Cypress St,100 Franklin St ,Brookline,Boston,Brookline,surface lot,The Hamilton Company,$150.00,2,1,1,43%,TOP 25%,42.32546979,-71.12330278,43%-100%
20691984,240 Kelton St,240 Kelton Street,Allston,Boston,Allston/BU,surface lot,Brighton Self Storage,$175.00,8,5,3,39%,MIDDLE 50%,42.34673826,-71.13611568,36%-42%
1680333564,2400 Mass Ave - Cambridge (Rear Lot),2400 Massachusetts Avenue,Cambridge,Boston,Cambridge North and West,surface lot,Juction Realty,$200.00,4,2,2,31%,BOTTOM 25%,42.3970597,-71.1302576,29%-35%
452356969,247 Pearl St - Somerville,247 Pearl St,Somerville,Boston,East Somerville/Winter Hill,surface lot,Ralph Di Girolamo,$170.00,3,1,2,36%,TOP 25%,42.38811372,-71.09526863,36%-42%
756692457,258 Broadway - Sunoco - Somerville,258 Broadway,Somerville,Boston,East Somerville/Winter Hill,surface lot,"Elias and Abe Auto Repair, Inc.",$140.00,7,4,3,30%,MIDDLE 50%,42.3905418,-71.09047539,29%-35%
1015823756,26 Allston St,26 Allston St,Allston,Boston,Allston/BU,surface lot,The Hamilton Company,$100.00,3,1,2,19%,MIDDLE 50%,42.35240995,-71.13487185,0%-28%
190175618,275 Beacon St - Star Mkt - Somerville,275 Beacon St,Somerville,Boston,Somerville,surface lot,Star Market,$125.00,6,4,2,37%,MIDDLE 50%,42.38336805,-71.11151397,36%-42%
20280070,275 Washington St - Pi Alley Garage,275 Washington Street,Boston,Boston,Financial District,parking garage,275 Washington Street Partners,$475.00,12,9,3,45%,TOP 25%,42.35814471,-71.05808588,43%-100%
9658734,28 St Albans Rd,28 St Albans Road,Boston,Boston,Fenway/Longwood Medical Area,surface lot,Hillway Realty Group LLC,$200.00,6,4,2,39%,MIDDLE 50%,42.3336657,-71.10659843,36%-42%
438057484,280 Congress St,280 Congress St,Boston,Boston,Financial District,parking garage,VPNE Parking Solutions,$200.00,2,0,2,9%,TOP 25%,42.35326332,-71.05305762,0%-28%
97700254,289 Highland Ave,289 Highland Ave,Somerville,Boston,Somerville,surface lot,289 Highland Ave Realty Inc.,$150.00,2,1,1,52%,MIDDLE 50%,42.39254682,-71.11275851,43%-100%
440069378,29 Austin St - Bunker Hill Mall,29-31 Austin St ,Charlestown,Boston,Charlestown,surface lot,"Bunker Hill Mall, LLC",$200.00,3,1,2,46%,MIDDLE 50%,42.3749116,-71.0670168,43%-100%
499002283,294 Chestnut Ave - Jamaica Plain (Rear Lot),294 Chestnut Ave,Jamaica Plain,Boston,Jamaica Plain,surface lot,Anna Yu/Erin Rosenbaum,$160.00,2,1,1,41%,MIDDLE 50%,42.31244255,-71.10977724,36%-42%
733309260,3 Langdon Sq,3 Langdon Sq,Cambridge,Boston,Cambridge North and West,surface lot,Chestnut Hill Realty,$195.00,3,2,1,41%,BOTTOM 25%,42.38083765,-71.12199549,36%-42%
1259648,3 Pleasant Pl (On-Street),3 Pleasant Place,Cambridge,Boston,Cambridge Central/Harvard,on street private,Barter,$0.00,1,0,1,28%,MIDDLE 50%,42.36350229,-71.1083758,0%-28%
295284806,30 Holyoke St (Rear Alley),30 Holyoke St,Boston,Boston,South End,alley,Carla Nelson,$250.00,1,0,1,#N/A,MIDDLE 50%,42.344797,-71.078393,#N/A
198357292,300 N Beacon St - HBSP - Watertown,300 North Beacon St,Watertown,Boston,Watertown,surface lot,The Arsenal on the Charles,$0.00,1,0,1,#N/A,MIDDLE 50%,42.36274562,-71.168468,#N/A
1036747883,305 Commandants Way - Admiral's Hill Marina,305 Commandants Way,Chelsea,Boston,Chelsea,surface lot,The Development and Marketing Group Companies,$0.00,2,1,1,25%,BOTTOM 25%,42.39178456,-71.0488274,0%-28%
1397682662,310 Trapelo Rd - Belmont VFW,310 Trapelo Rd,Belmont,Boston,Belmont,surface lot,Town of Belmont,$150.00,2,1,1,21%,MIDDLE 50%,42.38381827,-71.18243505,0%-28%
1334874675,320 Washington St - Newton Crowne Plaza,320 Washington St,Newton,Boston,Newton,surface lot,Newton Crowne Plaza,$0.00,2,1,1,31%,BOTTOM 25%,42.35617196,-71.18694338,29%-35%
96006,33 Kent St,33 Kent Street,Brookline,Boston,Brookline,surface lot,Town of Brookline,$0.00,2,1,1,47%,TOP 25%,42.3331901,-71.11729008,43%-100%
723432744,332 Chestnut Hill Ave - Shell Gas,332 Chestnut Hill Ave,Brighton,Boston,Allston/BU,surface lot,"AA Retail, Inc.",$250.00,7,2,5,34%,MIDDLE 50%,42.33762464,-71.15206902,29%-35%
1591910108,34 Brainard Ave - Wellington Pl Apts,34 Brainard Ave,Medford,Boston,Medford,surface lot,Wellington Place Apartments,$0.00,2,1,1,21%,BOTTOM 25%,42.4053262,-71.0783843,0%-28%
109248369,35 Concord Ave,35 Concord Ave,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Harrison L. Moore,$150.00,6,2,4,35%,BOTTOM 25%,42.38028316,-71.12638213,29%-35%
463780011,35 Gardner St/Linden St,35 Gardner St,Boston,Boston,Allston/BU,surface lot,Brighton Gardner Propertiess LLC,$170.00,7,5,2,31%,MIDDLE 50%,42.35346979,-71.12969398,29%-35%
1099078588,35 Thomson Pl - Zipcar Home Office,35 Thomson Pl,Boston,Boston,Seaport/Innovation District,on street public,"Farnsworth Stillings, LP",$340.00,3,1,2,23%,TOP 25%,42.35136875,-71.04726645,0%-28%
7613283,35 Vernon St,35 Vernon Street,Brookline,Boston,Brookline,surface lot,Vernon Towers,$230.00,3,2,1,39%,TOP 25%,42.3392362,-71.12353161,36%-42%
105131538,37 Dighton St,37 Dighton St,Brighton,Boston,Brighton,surface lot,Dighton Gardens LLC,$116.67,3,2,1,25%,BOTTOM 25%,42.34802087,-71.1556848,0%-28%
1412236548,370 Washington St - Brookline,370 Washington St,Brookline,Boston,Brookline,surface lot,SCS Development LLC,$250.00,3,2,1,38%,MIDDLE 50%,42.33402636,-71.12232984,36%-42%
452346551,373 Highland Ave - Highland Commons,373 Highland Ave,Somerville,Boston,Somerville,surface lot,Ralph Di Girolamo,$200.00,10,8,2,37%,BOTTOM 25%,42.39520814,-71.11849308,36%-42%
110562134,38 Ransom Rd,38 Ransom Rd,Brighton,Boston,Allston/BU,surface lot,C. Fred Welensky,$160.00,2,1,1,41%,MIDDLE 50%,42.3427023,-71.1456487,36%-42%
96123,393 Highland Ave - Rite Aid (Rear Lot),393 Highland Ave,Somerville,Boston,Somerville,surface lot,City of Somerville,$162.50,2,1,1,43%,TOP 25%,42.3957976,-71.1199548,43%-100%
160377287,40 Harvard Ave - Model Hardware - Allston,40 Harvard Ave,Boston,Boston,Allston/BU,surface lot,Robert A. Webber,$180.00,4,2,2,37%,MIDDLE 50%,42.35467691,-71.1321482,36%-42%
8726714,40 Webster St - Courtyard Marriott,40 Webster Street,Brookline,Boston,Brookline,parking garage,Courtyard,$330.00,17,15,2,30%,#N/A,42.34118893,-71.12282063,29%-35%
123322424,402 W Broadway,402 West Broadway,Boston,Boston,Seaport/Innovation District,surface lot,Broadway RJTP LLC,$190.00,5,2,3,34%,TOP 25%,42.33725304,-71.04819655,29%-35%
1397726934,42 Charles St,42 Charles Street,Dorchester,Boston,Dorchester North,surface lot,"Vietnamese American Initiative for Development, In",$170.00,10,9,1,30%,MIDDLE 50%,42.2999342,-71.0634287,29%-35%
187723064,45 Magazine St,45 Magazine St,Cambridge,Boston,Cambridge Central/Harvard,surface lot,3 Vendors,$185.00,5,0,5,26%,BOTTOM 25%,42.36285759,-71.1071594,0%-28%
498985265,45 University Rd - University Pl Garage,45 University Rd,Cambridge,Boston,Cambridge Central/Harvard,parking garage,VPNE Parking Solutions,$215.00,6,4,2,29%,MIDDLE 50%,42.37258227,-71.12388796,29%-35%
30155840,5 Centre St - Cambridge,5 Centre Street,Cambridge,Boston,Cambridge Central/Harvard,surface lot,5 Centre St Condominium Trust,$175.00,3,1,2,35%,BOTTOM 25%,42.369776,-71.108077,29%-35%
53025095,516 E 2nd St - The Distillery,516 E 2nd St,South Boston,Boston,South Boston,surface lot,"Second Street Associates, LLC",$175.00,4,2,2,42%,MIDDLE 50%,42.337328,-71.04240887,36%-42%
1565889104,523 Columbus Ave (Rear Alley),523 Columbus Ave,Boston,Boston,South End,surface lot,523 Columbus Avenue LLC,$325.00,1,0,1,#N/A,MIDDLE 50%,42.3418995,-71.0802051,#N/A
50272338,53 Shepard St - Harvard University,53 Shepard Street,Cambridge,Boston,Cambridge North and West,surface lot,Harvard University,$0.00,2,0,2,#N/A,BOTTOM 25%,42.38079301,-71.12367442,#N/A
1383235470,550 Adams St - Walgreens,550 Adams St,Quincy,Boston,MKT Boston Suburbs South,surface lot,New Creek LLC,$300.00,3,2,1,11%,BOTTOM 25%,42.25410627,-71.02726422,0%-28%
52213769,570 Washington St - Brighton,570 Washington Street,Brighton,Boston,Brighton,surface lot,570-580 Washington St. Condominium,$175.00,2,1,1,40%,MIDDLE 50%,42.34994133,-71.16498113,36%-42%
1430160921,59 Ashley St - St Joseph & Lazarus Church,59 Ashley St,East Boston,Boston,East Boston,surface lot,St. Joseph and Lazarus Church,$150.00,6,4,2,41%,MIDDLE 50%,42.3883023,-71.0074338,36%-42%
1705948650,6 Admiral's Way - Admiral's Hill,6 Admirals Way,Chelsea,Boston,Chelsea,surface lot,$0.00,$100.00,2,0,2,#N/A,#N/A,42.39042913,-71.04616133,#N/A
357817679,60 Wadsworth St - Eastgate Apts - MIT,60 Wadsworth St,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,MIT,$0.00,3,1,2,29%,TOP 25%,42.36168261,-71.08336955,29%-35%
3105293,62 Spring St,62 Spring Street,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,Paola Korall,$150.00,2,1,1,42%,TOP 25%,42.36888727,-71.08089477,36%-42%
46005856,620 Broadway - Mini Mart,620 Broadway,Somerville,Boston,Somerville,surface lot,Shield Mini Mart,$150.00,5,3,2,32%,MIDDLE 50%,42.39893365,-71.1098671,29%-35%
1383148289,630 Fellsway - Fellsway Plaza,630 Fellsway ,Medford,Boston,Medford,surface lot,New Creek LLC,$300.00,2,1,1,14%,BOTTOM 25%,42.40687967,-71.0826787,0%-28%
1053595252,64 Pine St - Donovan's Alignment,64 Pine Street,Waltham,Boston,Waltham,surface lot,David R.Girouard,$120.00,3,0,3,#N/A,MIDDLE 50%,42.3712031,-71.23372346,#N/A
32427623,66 Chester St (Rear Lot),66 Chester Street,Allston,Boston,Allston/BU,surface lot,"The Mount Vernon Company, Inc.",$150.00,8,6,2,37%,MIDDLE 50%,42.35307336,-71.12853527,36%-42%
742377,724 Washington St - Brookline,724 Washington St,Brookline,Boston,Brookline,surface lot,Preferred Realty Group,$200.00,3,1,2,50%,TOP 25%,42.339942,-71.1364552,43%-100%
1174399284,75 Northern Ave - District Hall,75 Northern Avenue,Boston,Boston,Seaport/Innovation District,surface lot,LAZ Parking - Boston,$325.00,2,1,1,27%,TOP 25%,42.35261057,-71.04551962,0%-28%
17840226,76 Gainsborough St (Rear Lot),76 Gainsborough St,Boston,Boston,Fenway/Longwood Medical Area,surface lot,69 Gainsborough St. Realty Trust/Whiteout/Blackout,$235.88,17,13,4,43%,TOP 25%,42.34195512,-71.08873197,43%-100%
1430611631,767 Concord Ave - W Cambridge Science Park,767 Concord Ave,Cambridge,Boston,Cambridge North and West,surface lot,"West Cambridge Science Park, LLC",$100.00,4,3,1,41%,#N/A,42.39252444,-71.15328301,36%-42%
29255314,8 Mt Auburn St - Harvard University,8 Mount Auburn St,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Harvard University,$0.00,2,1,1,41%,TOP 25%,42.370197,-71.114083,36%-42%
15836345,808 Memorial Dr,376 River St,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Winn Residential,$0.00,1,0,1,#N/A,MIDDLE 50%,42.3616592,-71.1153484,#N/A
25727045,854 Beacon St - Brookline,12 Arundel St ,Boston,Boston,Brookline,surface lot,854 Beacon Street LLC,$200.00,3,1,2,28%,MIDDLE 50%,42.3475992,-71.1037329,0%-28%
1327150048,90 Gardner St,90 Gardner St,Allston,Boston,Allston/BU,surface lot,The Hamilton Company,$150.00,5,4,1,37%,MIDDLE 50%,42.35361472,-71.12573631,36%-42%
1439792,929 Mass Ave - Cambridge,929 Massachusetts Ave,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Equity Residential Management LLC,$105.00,7,5,2,37%,BOTTOM 25%,42.36915068,-71.10881567,36%-42%
107771475,95 W Squantum St - Eaves by Avalon Apts,95 West Squantum St,Quincy,Boston,Quincy,surface lot,Avalon Bay Communities,$75.00,6,3,3,26%,BOTTOM 25%,42.27385952,-71.0326007,0%-28%
324869195,955 Mass Ave - Cambridge,955 Massachusetts Ave,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Brickman 955 Massachusetts LLC,$225.00,2,1,1,37%,MIDDLE 50%,42.3691003,-71.1097723,36%-42%
1400025253,97 Kilsyth Rd (Rear Lot),97 Kilsyth Rd,Brighton,Boston,Allston/BU,surface lot,"SCS Enterprises, LLC",$200.00,1,0,1,#N/A,MIDDLE 50%,42.34053452,-71.14565573,#N/A
1047406705,Alewife Brook Pkwy/Mass Ave - Mobil - Cambridge,2615 Massachusetts Ave,Cambridge,Boston,Cambridge North and West,surface lot,Alewife Mobile,$175.00,4,3,1,41%,MIDDLE 50%,42.4011039,-71.135398,36%-42%
96150,Alewife T,Cambridge Park Pl at Cambridge Park Dr,Cambridge,Boston,Cambridge North and West,parking garage,MBTA,$210.00,3,1,2,28%,MIDDLE 50%,42.39598888,-71.14281412,0%-28%
610325732,Alexander Ave/Claflin St - Belmont Fire Stn,99 Leonard St,Belmont ,Boston,Belmont,surface lot,Town of Belmont,$150.00,2,1,1,26%,BOTTOM 25%,42.39828198,-71.17373388,0%-28%
12309893,Banks St/Peabody Tr - Harvard University,120 Banks Street,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Harvard University,$0.00,3,2,1,45%,TOP 25%,42.36694109,-71.11494302,43%-100%
1674435006,Belgrade Ave/Beech St,62 Beech St,Boston,Boston,Roslindale,surface lot,Nabil Aidoud,$140.00,8,2,6,17%,BOTTOM 25%,42.2856491,-71.14837331,0%-28%
305926303,Belvidere St/Dalton St - Hilton,52 Belvidere St,Boston,Boston,Back Bay,parking garage,Hilton Back Bay,$350.00,2,1,1,48%,TOP 25%,42.3461599,-71.0849903,43%-100%
181585710,Bishop Allen Dr/Douglass St,55 Bishop Allen Dr,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,JustMass LLC,$175.00,8,4,4,31%,MIDDLE 50%,42.36474307,-71.10029523,29%-35%
711159822,Boylston St/Amory St - Boylston Congregational Church (Rear Lot),207 Amory St,Jamaica Plain,Boston,Jamaica Plain,surface lot,Boyleston Congregational Church,$175.00,11,10,1,40%,TOP 25%,42.31721294,-71.10325344,36%-42%
88267323,Brainerd Rd/Fiske Tr,18 Brainerd Rd,Allston,Boston,Brookline,surface lot,The Mount Vernon Company,$150.00,4,2,2,31%,MIDDLE 50%,42.34856574,-71.13048256,29%-35%
25250035,Broadway/Medford St - Somerville,532 Medford St,Somerville,Boston,Somerville,surface lot,City of Somerville,$162.50,2,1,1,32%,TOP 25%,42.3969439,-71.1042906,29%-35%
26645965,Broadway/Mt Vernon - Somerville,21 Broadway,Somerville,Boston,East Somerville/Winter Hill,surface lot,City of Somerville,$162.50,1,0,1,#N/A,MIDDLE 50%,42.38623268,-71.07852955,#N/A
156426817,Broadway/Pearson Rd - Somerville,761 Broadway,Somerville,Boston,Somerville,surface lot,761 Broadway Trust,$125.00,3,1,2,40%,TOP 25%,42.40075821,-71.11427665,36%-42%
452352995,Broadway/Pennsylvania Ave - Somerville,67 Broadway,Somerville,Boston,East Somerville/Winter Hill,surface lot,Ralph Di Girolamo,$170.00,8,3,5,36%,BOTTOM 25%,42.38724255,-71.08116483,36%-42%
796224049,Broadway/Sycamore St - Somerville,165 Sycamore St,Somerville,Boston,East Somerville/Winter Hill,surface lot,YWAM Boston,$125.00,4,2,2,50%,MIDDLE 50%,42.39384161,-71.09736073,43%-100%
4268350,Calumet St/Tremont St - Stop & Shop,19 Calumet St,Boston,Boston,Fenway/Longwood Medical Area,surface lot,One Brigham Circle LLC,$150.00,1,0,1,#N/A,TOP 25%,42.3332332,-71.1052242,#N/A
590161133,Cambridge Discovery Park - Building 100,100 Acorn Park Drive,Cambridge,Boston,Cambridge North and West,surface lot,$0.00,$0.00,1,0,1,#N/A,MIDDLE 50%,42.39846699,-71.14981813,#N/A
187725180,Camp St/Seven Pines Ave,37 Camp St,Cambridge,Boston,Cambridge North and West,surface lot,VirginaMcIlvain,$150.00,2,0,2,#N/A,TOP 25%,42.39915082,-71.12995128,#N/A
770865464,Cedar St/Highland Ave,290 Highland Ave,Somerville,Boston,Somerville,surface lot,290 Highland Ave LLC,$165.00,3,1,2,38%,TOP 25%,42.39207561,-71.11264736,36%-42%
452350637,Central St/Gibbens St,78 Central St,Somerville,Boston,Somerville,surface lot,RFR Realty Trust,$170.00,3,1,2,38%,TOP 25%,42.3880132,-71.10387564,36%-42%
199218712,Centre St/Arborway Ter - Jamaica Plain,891 Centre St,Boston,Boston,Roslindale,surface lot,"Orchard Street Acquisition, LLC",$200.00,6,5,1,41%,MIDDLE 50%,42.30907357,-71.1197497,36%-42%
733282216,Centre St/Clementine Pk - Epiphany School - Dorchester,154 Centre St,Dorchester,Boston,Dorchester South,surface lot,Epiphany School,$175.00,3,1,2,45%,MIDDLE 50%,42.29263742,-71.06586897,43%-100%
22260169,Centre St/Lochstead Ave - JP Oil,525 Centre St,Jamaica Plain,Boston,Jamaica Plain,surface lot,Blue Hat LLC ,$168.18,10,8,2,39%,MIDDLE 50%,42.317339,-71.1134394,36%-42%
90754821,Centre St/Wellman St - Brookline,40 Centre St,Brookline,Boston,Brookline,surface lot,The Hamilton Company,$250.00,4,2,2,30%,MIDDLE 50%,42.34275342,-71.1246837,29%-35%
6917255,Clarendon St/Montgomery St (Rear Lot),2 Clarendon Street,Boston,Boston,South End,surface lot,Two Clarendon St. Realty Ltd.,$425.00,8,2,6,44%,BOTTOM 25%,42.3443512,-71.07283115,43%-100%
3428226,Comm Ave/Griggs St - Allston,1302 Commonwealth Ave,Brighton,Boston,Allston/BU,surface lot,Mount Vernon Company,$150.00,2,1,1,31%,TOP 25%,42.3486053,-71.1337989,29%-35%
167743477,Comm Ave/Wade St - Sunoco - Brighton,2022 Commonwealth Ave,Brighton,Boston,Newton,surface lot,Petroleum Tech.,$183.34,4,2,2,28%,BOTTOM 25%,42.33981618,-71.16008743,0%-28%
54809085,Concord Ave/Huron Ave - Citgo,199 Concord Ave,Cambridge,Boston,Cambridge North and West,surface lot,A and E Service Station,$150.00,2,1,1,18%,MIDDLE 50%,42.38261844,-71.13123081,0%-28%
12626279,Congress St/Sleeper St,321 Congress Street,Boston,Boston,Seaport/Innovation District,surface lot,LAZ Parking - Boston,$450.00,2,0,2,#N/A,TOP 25%,42.35105315,-71.04981073,#N/A
12574573,Corey Rd/Washington St - Brighton,165 Corey Rd,Brighton,Boston,Allston/BU,surface lot,Brighton Auto Clinic,$250.00,21,14,7,28%,MIDDLE 50%,42.34266721,-71.13999751,0%-28%
305936191,Crown St/Tower St - Somerville Hospital,34 Crown St,Somerville,Boston,Somerville,surface lot,Somerville Hospital,$0.00,1,0,1,#N/A,MIDDLE 50%,42.38903537,-71.1098667,#N/A
1397787519,Day St/Herbert St,46 Day St,Somerville,Boston,Somerville,surface lot,New Day Properties LLC,$240.00,3,2,1,39%,TOP 25%,42.39578959,-71.1233757,36%-42%
1525394069,Dorchester Ave/B St,284 Dorchester Ave,Boston,Boston,South Boston,surface lot,284 Dorchester Ave LLC,$165.00,6,2,4,30%,BOTTOM 25%,42.33844675,-71.05692171,29%-35%
475611970,Dorchester Ave/Wrentham St,1859 Dorchester Ave,Dorchester,Boston,Dorchester South,surface lot,Connelly Construction,$175.00,13,9,4,55%,TOP 25%,42.28748875,-71.06418639,43%-100%
